confidence	arg1	rel	arg2	enabler	attribution	text	pattern	dependencies
1.0	his sister Aisha	opposed	Ali in the battle of Jamal			Muhammad ibn Abu Bakr was a pious Muslim who supported the Imam of his time , Ali ibn Abi Talib , even though his sister Aisha opposed ` Ali in the battle of Jamal , Ibn Abu Bakr was faithful to his stepfather .		
1.0	Names like John Berks , Gary Edwards , Frank Sanders , Robin Alexander , Darryl Jooste , George Wayne and David Gresham	started out	at LM Radio before moving to other stations such as Swazi Music Radio , Radio 702 , Springbok Radio and other SABC stations , 2JJ and Capital 604			Names like John Berks , Gary Edwards , Frank Sanders , Robin Alexander , Darryl Jooste , George Wayne and David Gresham all started out at LM Radio before moving to other stations such as Swazi Music Radio , Radio 702 , Springbok Radio and other SABC stations , 2JJ and Capital 604 .		
1.0	Names like John Berks , Gary Edwards , Frank Sanders , Robin Alexander , Darryl Jooste , George Wayne and David Gresham	started out	at LM Radio before moving to other stations such as Swazi Music Radio , Radio 702 , Springbok Radio and other SABC stations , 2JJ and			Names like John Berks , Gary Edwards , Frank Sanders , Robin Alexander , Darryl Jooste , George Wayne and David Gresham all started out at LM Radio before moving to other stations such as Swazi Music Radio , Radio 702 , Springbok Radio and other SABC stations , 2JJ and Capital 604 .		
1.0	Newhan	split	the season between Triple-A Round Rock			Newhan split the season between Triple-A Round Rock , where he hit .308 .		
1.0	the race	stopped	in the suburb of Gradignan			Next morning , the race left the city on the way to the Pyrenees and stopped in the suburb of Gradignan , in the university area of La House .		
1.0	the race	left	Next morning , the race left the city on the way to the Pyrenees			Next morning , the race left the city on the way to the Pyrenees and stopped in the suburb of Gradignan , in the university area of La House .		
1.0	the race	stopped	in the suburb of Gradignan , in the university area of La House			Next morning , the race left the city on the way to the Pyrenees and stopped in the suburb of Gradignan , in the university area of La House .		
1.0	No announcement from UTV	was made	about the decision			No announcement from UTV was made about the decision to close the station earlier than planned .		
1.0	No announcement from UTV	was made	about the decision to close the station earlier than planned			No announcement from UTV was made about the decision to close the station earlier than planned .		
1.0	Noatak	has	a gravel public airstrip			Noatak has a gravel public airstrip and is primarily reached by air .		
1.0	Noatak	is primarily reached	by air			Noatak has a gravel public airstrip and is primarily reached by air .		
1.0	Matau	was particularly frustrated	particularly frustrated at following what he considered the delusions of a `` fire-spitter			Not everyone completely trusted Vakama 's vision - Matau was particularly frustrated at following what he considered the delusions of a `` fire-spitter '' - but with nothing else to go on they decided to track the Matoran down .		
1.0	Not everyone completely	trusted	Vakama 's vision			Not everyone completely trusted Vakama 's vision - Matau was particularly frustrated at following what he considered the delusions of a `` fire-spitter '' - but with nothing else to go on they decided to track the Matoran down .		
1.0	they	decided	to track the Matoran down			Not everyone completely trusted Vakama 's vision - Matau was particularly frustrated at following what he considered the delusions of a `` fire-spitter '' - but with nothing else to go on they decided to track the Matoran down .		
1.0	contemporary or near-contemporary accounts	suggest	that he was brought up as a member of the Church of Scotland			Nothing is known for certain about his life before about 1580 , but contemporary or near-contemporary accounts suggest that he was brought up as a member of the Church of Scotland , spent some time in Argyll before leaving for the Continent , and was converted to Catholicism in Spain .		
1.0	Nothing	is known	for certain about his life before about 1580			Nothing is known for certain about his life before about 1580 , but contemporary or near-contemporary accounts suggest that he was brought up as a member of the Church of Scotland , spent some time in Argyll before leaving for the Continent , and was converted to Catholicism in Spain .		
1.0	the	was	an afterthought supplied too late for the English edition , for it is referred to in `` The Castaway '' : `` in the sequel of the narrative			Obviously the epilogue was not an afterthought supplied too late for the English edition , for it is referred to in `` The Castaway '' : `` in the sequel of the narrative , it will then be seen what like abandonment befell myself . ''		
1.0	the epilogue	was not	an afterthought supplied too late for the English edition			Obviously the epilogue was not an afterthought supplied too late for the English edition , for it is referred to in `` The Castaway '' : `` in the sequel of the narrative , it will then be seen what like abandonment befell myself . ''		
1.0	it	is referred	to in `` The Castaway			Obviously the epilogue was not an afterthought supplied too late for the English edition , for it is referred to in `` The Castaway '' : `` in the sequel of the narrative , it will then be seen what like abandonment befell myself . ''		
1.0	there	was	1 individual			Of the rest of the population , there was 1 individual who belonged to the Christian Catholic faith .		
1.0	1 individual	belonged	to the Christian Catholic faith			Of the rest of the population , there was 1 individual who belonged to the Christian Catholic faith .		
1.0	British double agent `` Garbo	was requested	On 16 June 1944 , British double agent `` Garbo '' was requested by his German controllers to give information on the sites and times of V-1 impacts			On 16 June 1944 , British double agent `` Garbo '' was requested by his German controllers to give information on the sites and times of V-1 impacts , with similar requests made to the other German agents in Britain , `` Brutus '' and `` Tate '' .		
1.0	similar requests made to the other	made	to the other German agents in Britain			On 16 June 1944 , British double agent `` Garbo '' was requested by his German controllers to give information on the sites and times of V-1 impacts , with similar requests made to the other German agents in Britain , `` Brutus '' and `` Tate '' .		
1.0	Yost	was named	On May 13 , 2010 , Yost was named manager of the Kansas City Royals			On May 13 , 2010 , Yost was named manager of the Kansas City Royals , replacing Trey Hillman .		
1.0	Yost	was named manager of the Kansas City Royals , replacing	Trey Hillman			On May 13 , 2010 , Yost was named manager of the Kansas City Royals , replacing Trey Hillman .		
1.0	XM	suspended	Opie & Anthony			On May 15 , 2007 , XM suspended Opie & Anthony for 30 days , in response to a broadcast featuring a homeless man who wandered into the studio .		
